cell,tag,env,engine,l_min,tau,n_qtn,a_n,a_TP,a_PR,C_n,C_TP,C_PR
V0.5_c1,bgs,3,lfmm,5,0.01,19,19,13,0.46814404432133,33,16,0.40829346092504
V0.5_c1,bgs,3,lfmm,5,0.02,19,19,13,0.46814404432133,29,16,0.464609800362976
V0.5_c1,bgs,3,lfmm,5,0.05,19,19,13,0.46814404432133,29,16,0.464609800362976
V0.5_c1,bgs,3,lfmm,5,0.1,19,19,13,0.46814404432133,28,16,0.481203007518797
V0.5_c1,bgs,3,lfmm,5,0.15,19,19,13,0.46814404432133,25,16,0.538947368421053
V0.5_c1,bgs,3,lfmm,5,0.2,19,19,13,0.46814404432133,23,15,0.51487414187643
V0.5_c1,bgs,3,lfmm,5,0.3,19,19,13,0.46814404432133,22,14,0.4688995215311
V0.5_c1,bgs,3,lfmm,5,0.4,19,19,13,0.46814404432133,20,14,0.51578947368421
V0.5_c1,bgs,3,lfmm,5,0.5,19,19,13,0.46814404432133,20,14,0.51578947368421
V0.5_c1,bgs,3,lfmm,5,0.7,19,19,13,0.46814404432133,16,12,0.473684210526316
V0.5_c1,bgs,3,lfmm,10,0.01,19,16,11,0.398026315789474,23,15,0.51487414187643
V0.5_c1,bgs,3,lfmm,10,0.02,19,16,11,0.398026315789474,23,15,0.51487414187643
V0.5_c1,bgs,3,lfmm,10,0.05,19,16,11,0.398026315789474,21,13,0.423558897243108
V0.5_c1,bgs,3,lfmm,10,0.1,19,16,11,0.398026315789474,20,13,0.444736842105263
V0.5_c1,bgs,3,lfmm,10,0.15,19,16,11,0.398026315789474,20,13,0.444736842105263
V0.5_c1,bgs,3,lfmm,10,0.2,19,16,11,0.398026315789474,20,13,0.444736842105263
V0.5_c1,bgs,3,lfmm,10,0.3,19,16,11,0.398026315789474,18,12,0.421052631578947
V0.5_c1,bgs,3,lfmm,10,0.4,19,16,11,0.398026315789474,17,12,0.445820433436533
V0.5_c1,bgs,3,lfmm,10,0.5,19,16,11,0.398026315789474,17,12,0.445820433436533
V0.5_c1,bgs,3,lfmm,10,0.7,19,16,11,0.398026315789474,15,11,0.424561403508772
V0.5_c1,bgs,4,emmax,2,0.01,15,11,8,0.387878787878788,21,9,0.257142857142857
V0.5_c1,bgs,4,emmax,2,0.02,15,11,8,0.387878787878788,20,9,0.27
V0.5_c1,bgs,4,emmax,2,0.05,15,11,8,0.387878787878788,18,10,0.37037037037037
V0.5_c1,bgs,4,emmax,2,0.1,15,11,8,0.387878787878788,14,9,0.385714285714286
V0.5_c1,bgs,4,emmax,2,0.15,15,11,8,0.387878787878788,13,9,0.415384615384615
V0.5_c1,bgs,4,emmax,2,0.2,15,11,8,0.387878787878788,13,9,0.415384615384615
V0.5_c1,bgs,4,emmax,2,0.3,15,11,8,0.387878787878788,12,9,0.45
V0.5_c1,bgs,4,emmax,2,0.4,15,11,8,0.387878787878788,12,9,0.45
V0.5_c1,bgs,4,emmax,2,0.5,15,11,8,0.387878787878788,12,9,0.45
V0.5_c1,bgs,4,emmax,2,0.7,15,11,8,0.387878787878788,11,9,0.490909090909091
V0.5_c1,bgs,4,emmax,3,0.01,15,9,7,0.362962962962963,19,8,0.224561403508772
V0.5_c1,bgs,4,emmax,3,0.02,15,9,7,0.362962962962963,17,8,0.250980392156863
V0.5_c1,bgs,4,emmax,3,0.05,15,9,7,0.362962962962963,15,8,0.284444444444444
V0.5_c1,bgs,4,emmax,3,0.1,15,9,7,0.362962962962963,13,8,0.328205128205128
V0.5_c1,bgs,4,emmax,3,0.15,15,9,7,0.362962962962963,12,8,0.355555555555556
V0.5_c1,bgs,4,emmax,3,0.2,15,9,7,0.362962962962963,11,8,0.387878787878788
V0.5_c1,bgs,4,emmax,3,0.3,15,9,7,0.362962962962963,9,7,0.362962962962963
V0.5_c1,bgs,4,emmax,3,0.4,15,9,7,0.362962962962963,9,7,0.362962962962963
V0.5_c1,bgs,4,emmax,3,0.5,15,9,7,0.362962962962963,9,7,0.362962962962963
V0.5_c1,bgs,4,emmax,3,0.7,15,9,7,0.362962962962963,9,7,0.362962962962963
V0.5_c1,bgs,4,emmax,5,0.01,15,8,7,0.408333333333333,13,8,0.328205128205128
V0.5_c1,bgs,4,emmax,5,0.02,15,8,7,0.408333333333333,13,8,0.328205128205128
V0.5_c1,bgs,4,emmax,5,0.05,15,8,7,0.408333333333333,12,8,0.355555555555556
V0.5_c1,bgs,4,emmax,5,0.1,15,8,7,0.408333333333333,9,8,0.474074074074074
V0.5_c1,bgs,4,emmax,5,0.15,15,8,7,0.408333333333333,8,7,0.408333333333333
V0.5_c1,bgs,4,emmax,5,0.2,15,8,7,0.408333333333333,8,7,0.408333333333333
V0.5_c1,bgs,4,emmax,5,0.3,15,8,7,0.408333333333333,8,7,0.408333333333333
V0.5_c1,bgs,4,emmax,5,0.4,15,8,7,0.408333333333333,8,7,0.408333333333333
V0.5_c1,bgs,4,emmax,5,0.5,15,8,7,0.408333333333333,8,7,0.408333333333333
V0.5_c1,bgs,4,emmax,5,0.7,15,8,7,0.408333333333333,8,7,0.408333333333333
V0.5_c1,bgs,4,emmax,10,0.01,15,5,5,0.333333333333333,9,7,0.362962962962963
V0.5_c1,bgs,4,emmax,10,0.02,15,5,5,0.333333333333333,9,7,0.362962962962963
V0.5_c1,bgs,4,emmax,10,0.05,15,5,5,0.333333333333333,9,7,0.362962962962963
V0.5_c1,bgs,4,emmax,10,0.1,15,5,5,0.333333333333333,8,7,0.408333333333333
V0.5_c1,bgs,4,emmax,10,0.15,15,5,5,0.333333333333333,7,7,0.466666666666667
