cell,tag,env,engine,rho_ld,l_min,n_qtn,a_n,a_TP,a_PR,C_n,C_TP,C_PR
V0.5_c1,bgs,1,lfmm,0.85,10,22,10,7,0.222727272727273,16,8,0.181818181818182
V0.5_c1,bgs,1,emmax,0.9,2,22,18,7,0.123737373737374,54,11,0.101851851851852
V0.5_c1,bgs,1,emmax,0.9,3,22,13,6,0.125874125874126,35,11,0.157142857142857
V0.5_c1,bgs,1,emmax,0.9,5,22,11,6,0.148760330578512,23,10,0.197628458498024
V0.5_c1,bgs,1,emmax,0.9,10,22,9,5,0.126262626262626,19,9,0.19377990430622
V0.5_c1,bgs,1,lfmm,0.9,2,22,19,8,0.15311004784689,43,11,0.127906976744186
V0.5_c1,bgs,1,lfmm,0.9,3,22,16,8,0.181818181818182,34,10,0.133689839572193
V0.5_c1,bgs,1,lfmm,0.9,5,22,13,8,0.223776223776224,25,9,0.147272727272727
V0.5_c1,bgs,1,lfmm,0.9,10,22,10,7,0.222727272727273,16,8,0.181818181818182
V0.5_c1,bgs,1,emmax,0.95,2,22,18,7,0.123737373737374,52,12,0.125874125874126
V0.5_c1,bgs,1,emmax,0.95,3,22,13,6,0.125874125874126,35,12,0.187012987012987
V0.5_c1,bgs,1,emmax,0.95,5,22,11,6,0.148760330578512,23,10,0.197628458498024
V0.5_c1,bgs,1,emmax,0.95,10,22,9,5,0.126262626262626,19,9,0.19377990430622
V0.5_c1,bgs,1,lfmm,0.95,2,22,19,8,0.15311004784689,43,11,0.127906976744186
V0.5_c1,bgs,1,lfmm,0.95,3,22,16,8,0.181818181818182,34,10,0.133689839572193
V0.5_c1,bgs,1,lfmm,0.95,5,22,13,8,0.223776223776224,25,9,0.147272727272727
V0.5_c1,bgs,1,lfmm,0.95,10,22,10,7,0.222727272727273,16,8,0.181818181818182
V0.5_c1,bgs,1,emmax,0.99,2,22,18,7,0.123737373737374,53,12,0.123499142367067
V0.5_c1,bgs,1,emmax,0.99,3,22,13,6,0.125874125874126,35,12,0.187012987012987
V0.5_c1,bgs,1,emmax,0.99,5,22,11,6,0.148760330578512,23,10,0.197628458498024
V0.5_c1,bgs,1,emmax,0.99,10,22,9,5,0.126262626262626,19,9,0.19377990430622
V0.5_c1,bgs,1,lfmm,0.99,2,22,19,8,0.15311004784689,39,11,0.141025641025641
V0.5_c1,bgs,1,lfmm,0.99,3,22,16,8,0.181818181818182,32,10,0.142045454545455
V0.5_c1,bgs,1,lfmm,0.99,5,22,13,8,0.223776223776224,24,9,0.153409090909091
V0.5_c1,bgs,1,lfmm,0.99,10,22,10,7,0.222727272727273,16,8,0.181818181818182
V0.5_c1,bgs,2,emmax,0.5,2,20,26,10,0.192307692307692,43,11,0.140697674418605
V0.5_c1,bgs,2,emmax,0.5,3,20,23,9,0.176086956521739,34,10,0.147058823529412
V0.5_c1,bgs,2,emmax,0.5,5,20,18,9,0.225,22,9,0.184090909090909
V0.5_c1,bgs,2,emmax,0.5,10,20,7,6,0.257142857142857,15,9,0.27
V0.5_c1,bgs,2,lfmm,0.5,2,20,32,13,0.2640625,64,15,0.17578125
V0.5_c1,bgs,2,lfmm,0.5,3,20,21,11,0.288095238095238,45,14,0.217777777777778
V0.5_c1,bgs,2,lfmm,0.5,5,20,17,10,0.294117647058824,34,12,0.211764705882353
V0.5_c1,bgs,2,lfmm,0.5,10,20,13,8,0.246153846153846,22,11,0.275
V0.5_c1,bgs,2,emmax,0.6,2,20,24,10,0.208333333333333,39,11,0.155128205128205
V0.5_c1,bgs,2,emmax,0.6,3,20,21,9,0.192857142857143,30,10,0.166666666666667
V0.5_c1,bgs,2,emmax,0.6,5,20,17,9,0.238235294117647,20,9,0.2025
V0.5_c1,bgs,2,emmax,0.6,10,20,9,7,0.272222222222222,15,9,0.27
V0.5_c1,bgs,2,lfmm,0.6,2,20,30,13,0.281666666666667,59,15,0.190677966101695
V0.5_c1,bgs,2,lfmm,0.6,3,20,22,11,0.275,43,14,0.227906976744186
V0.5_c1,bgs,2,lfmm,0.6,5,20,17,10,0.294117647058824,33,13,0.256060606060606
V0.5_c1,bgs,2,lfmm,0.6,10,20,13,8,0.246153846153846,20,11,0.3025
V0.5_c1,bgs,2,emmax,0.75,2,20,24,11,0.252083333333333,35,11,0.172857142857143
