cell,tag,env,engine,l_min,n_qtn,n_rho_all,n_rho_high,a_PR,Call_PR,Call_n,Chigh_PR,Chigh_n,Call_TP,Chigh_TP
V1_c1.5,bgs,7,emmax,3,23,20,11,0.0108695652173913,0.0760869565217391,28,0.0734632683658171,29,7,7
V1_c1.5,bgs,7,emmax,5,23,20,11,0.0217391304347826,0.106521739130435,20,0.125319693094629,17,7,7
V1_c1.5,bgs,7,emmax,10,23,20,11,0.0217391304347826,0.108695652173913,10,0.120401337792642,13,5,6
V1_c1.5,bgs,7,lfmm,2,23,20,11,0.0295893719806763,0.0279503105590062,126,0.0270903010033445,130,9,9
V1_c1.5,bgs,7,lfmm,3,23,20,11,0.0340264650283554,0.0414322250639386,85,0.0419254658385093,84,9,9
V1_c1.5,bgs,7,lfmm,5,23,20,11,0.0626086956521739,0.0391304347826087,40,0.0484189723320158,44,6,7
V1_c1.5,bgs,7,lfmm,10,23,20,11,0.120401337792642,0.0782608695652174,20,0.0680529300567108,23,6,6
V1_c1.5,bgs,8,emmax,2,21,20,11,0.0195160031225605,0.0166435506241331,103,0.0158730158730159,108,6,6
V1_c1.5,bgs,8,emmax,3,21,20,11,0.0283446712018141,0.0175070028011204,68,0.0165343915343915,72,5,5
V1_c1.5,bgs,8,emmax,5,21,20,11,0.0476190476190476,0.0276854928017719,43,0.0276854928017719,43,5,5
V1_c1.5,bgs,8,emmax,10,21,20,11,0.0146520146520147,0.0225563909774436,19,0.0214285714285714,20,3,3
V1_c1.5,bgs,8,lfmm,2,21,20,11,0.0225563909774436,0.0216049382716049,108,0.0202898550724638,115,7,7
V1_c1.5,bgs,8,lfmm,3,21,20,11,0.0224618149146451,0.0234833659491194,73,0.0225563909774436,76,6,6
V1_c1.5,bgs,8,lfmm,5,21,20,11,0.0224089635854342,0.0253292806484296,47,0.0248015873015873,48,5,5
V1_c1.5,bgs,8,lfmm,10,21,20,11,0.0126984126984127,0.0178571428571429,24,0.0158730158730159,27,3,3
V1_c1.5,bgs,9,lfmm,2,30,20,11,0.00833333333333333,0.0166666666666667,8,0.0121212121212121,11,2,2
V1_c1.5,bgs,9,lfmm,3,30,20,11,0.0166666666666667,0.0222222222222222,6,0.0148148148148148,9,2,2
V1_c1.5,bgs,9,lfmm,5,30,20,11,0.0166666666666667,0.0266666666666667,5,0.0222222222222222,6,2,2
V1_c1.5,bgs,9,lfmm,10,30,20,11,0.0166666666666667,0.00833333333333333,4,0.00833333333333333,4,1,1
V1_c1.5,bgs,10,emmax,2,19,20,11,0.00181488203266788,0.00570703868103995,83,0.00570703868103995,83,3,3
V1_c1.5,bgs,10,emmax,3,19,20,11,0.00309597523219814,0.00816696914700544,58,0.00816696914700544,58,3,3
V1_c1.5,bgs,10,emmax,5,19,20,11,0.00526315789473684,0.0143540669856459,33,0.0139318885448916,34,3,3
V1_c1.5,bgs,10,emmax,10,19,20,11,0.0087719298245614,0.0131578947368421,16,0.0236842105263158,20,2,3
