arm,cell,tag,env,n_test,regions,tp,precision,recall,on_ntrl,FDP_ntrl,n_qtn
cluster-then-test,V2_c1,bgs,8,87728,9,2,0.222222222222222,0.181818181818182,2,0.434634839949862,11
test-then-cluster,V2_c1,bgs,8,88070,9,2,0.222222222222222,0.181818181818182,2,0.434634839949862,11
single SNP,V2_c1,bgs,8,234127,25,2,0.08,0.181818181818182,8,0.601802086084424,11
consensus (no n penalty),V2_c1,bgs,8,87728,9,2,0.222222222222222,0.181818181818182,3,0.651952259924793,11
cluster-then-test,V2_c1,bgs,9,87695,0,0,0,0,0,0,11
test-then-cluster,V2_c1,bgs,9,88067,0,0,0,0,0,0,11
single SNP,V2_c1,bgs,9,235478,0,0,0,0,0,0,11
consensus (no n penalty),V2_c1,bgs,9,87695,0,0,0,0,0,0,11
cluster-then-test,V2_c1,bgs,10,88419,8,5,0.625,0.357142857142857,0,0,14
test-then-cluster,V2_c1,bgs,10,88778,8,5,0.625,0.357142857142857,0,0,14
single SNP,V2_c1,bgs,10,234890,18,5,0.277777777777778,0.357142857142857,1,0.0943027363247754,14
consensus (no n penalty),V2_c1,bgs,10,88419,9,5,0.555555555555556,0.357142857142857,1,0.165029788568357,14
