cell,tag,env,partition,statistic,engine,n_test,regions,tp,precision,recall,widest_Mb,med_occupancy,occ_all_units,widest_all_Mb,n_qtn
V0.5_c2,nobgs,10,stage 2,consensus,LFMM,74139,277,11,0.0397111913357401,0.333333333333333,27.186468,0.0283358202845424,1,27.695697,33
V1_c1.5,nobgs,1,stage 2,Simes,EMMAX,91185,2,1,0.5,0.0454545454545455,0.10355,0.622222222222222,1,18.066763,22
V1_c1.5,nobgs,1,stage 1,Simes,EMMAX,94293,9,5,0.555555555555556,0.318181818181818,12.284361,0.0976042590949423,1,18.066763,22
V1_c1.5,nobgs,1,stage 2,consensus,EMMAX,91185,6,3,0.5,0.136363636363636,12.646443,0.0744221143841269,1,18.066763,22
V1_c1.5,nobgs,1,stage 2,Simes,LFMM,91185,5,5,1,0.318181818181818,12.284361,0.0211846543001686,1,18.066763,22
V1_c1.5,nobgs,1,stage 1,Simes,LFMM,94293,5,5,1,0.318181818181818,12.284361,0.0211846543001686,1,18.066763,22
V1_c1.5,nobgs,1,stage 2,consensus,LFMM,91185,21,8,0.380952380952381,0.454545454545455,12.646443,0.0433031218529708,1,18.066763,22
V1_c1.5,nobgs,2,stage 2,Simes,EMMAX,91759,10,0,0,0,10.491128,0.0211843711843712,1,15.804983,29
V1_c1.5,nobgs,2,stage 1,Simes,EMMAX,94988,10,0,0,0,10.491128,0.0211843711843712,1,15.804983,29
V1_c1.5,nobgs,2,stage 2,consensus,EMMAX,91759,34,1,0.0294117647058824,0.0344827586206897,10.491128,0.0287695521228019,1,15.804983,29
V1_c1.5,nobgs,2,stage 2,Simes,LFMM,91759,28,3,0.107142857142857,0.103448275862069,10.491128,0.0206922820141914,1,15.804983,29
V1_c1.5,nobgs,2,stage 1,Simes,LFMM,94988,41,3,0.0731707317073171,0.103448275862069,12.659858,0.0222222222222222,1,15.804983,29
V1_c1.5,nobgs,2,stage 2,consensus,LFMM,91759,139,7,0.0503597122302158,0.241379310344828,13.442226,0.0529615574987626,1,15.804983,29
V1_c1.5,nobgs,3,stage 2,Simes,EMMAX,91104,2,1,0.5,0.04,9.063879,0.0359566618632768,1,16.160987,25
V1_c1.5,nobgs,3,stage 1,Simes,EMMAX,94429,3,1,0.333333333333333,0.04,9.063879,0.0689655172413793,1,16.160987,25
