arm,cell,tag,env,n_test,regions,tp,precision,recall,on_ntrl,FDP_ntrl,n_qtn
consensus (no n penalty),V0.5_c1,nobgs,5,99328,9,6,0.666666666666667,0.411764705882353,0,0,17
cluster-then-test,V0.5_c1,nobgs,6,102214,22,6,0.272727272727273,0.4375,8,0.659543560934494,16
test-then-cluster,V0.5_c1,nobgs,6,102649,23,6,0.260869565217391,0.4375,9,0.711070401632502,16
single SNP,V0.5_c1,nobgs,6,297429,193,10,0.0518134715025907,0.6875,81,0.775713165417274,16
consensus (no n penalty),V0.5_c1,nobgs,6,102214,34,7,0.205882352941176,0.5,10,0.541767925053335,16
cluster-then-test,V0.5_c1,nobgs,7,97081,15,8,0.533333333333333,0.529411764705882,0,0,17
test-then-cluster,V0.5_c1,nobgs,7,97587,22,8,0.363636363636364,0.529411764705882,1,0.0721711333308553,17
single SNP,V0.5_c1,nobgs,7,288782,97,9,0.0927835051546392,0.588235294117647,24,0.397272293564341,17
consensus (no n penalty),V0.5_c1,nobgs,7,97081,14,7,0.5,0.470588235294118,0,0,17
cluster-then-test,V0.5_c1,nobgs,8,100746,51,12,0.235294117647059,0.608695652173913,8,0.222399621629691,23
test-then-cluster,V0.5_c1,nobgs,8,101230,52,12,0.230769230769231,0.608695652173913,9,0.242947412758521,23
single SNP,V0.5_c1,nobgs,8,297425,215,12,0.0558139534883721,0.608695652173913,68,0.523374316190533,23
consensus (no n penalty),V0.5_c1,nobgs,8,100746,49,12,0.244897959183673,0.608695652173913,9,0.25789802277443,23
cluster-then-test,V0.5_c1,nobgs,9,100958,8,6,0.75,0.421052631578947,0,0,19
test-then-cluster,V0.5_c1,nobgs,9,101448,9,7,0.777777777777778,0.473684210526316,0,0,19
single SNP,V0.5_c1,nobgs,9,295558,72,10,0.138888888888889,0.631578947368421,22,0.514023735466193,19
consensus (no n penalty),V0.5_c1,nobgs,9,100958,9,7,0.777777777777778,0.473684210526316,0,0,19
cluster-then-test,V0.5_c1,nobgs,10,103749,21,9,0.428571428571429,0.476190476190476,1,0.0736647557430662,21
test-then-cluster,V0.5_c1,nobgs,10,104204,33,10,0.303030303030303,0.523809523809524,5,0.239410456164965,21
single SNP,V0.5_c1,nobgs,10,302905,125,11,0.088,0.571428571428571,44,0.597677167163601,21
consensus (no n penalty),V0.5_c1,nobgs,10,103749,23,8,0.347826086956522,0.380952380952381,2,0.141872862912572,21
cluster-then-test,V0.5_c2,nobgs,1,72230,9,2,0.222222222222222,0.0588235294117647,2,0.420230157899024,34
test-then-cluster,V0.5_c2,nobgs,1,77412,17,4,0.235294117647059,0.117647058823529,5,0.556186973689885,34
single SNP,V0.5_c2,nobgs,1,371421,48,5,0.104166666666667,0.147058823529412,18,0.709138391454603,34
consensus (no n penalty),V0.5_c2,nobgs,1,72230,16,2,0.125,0.0588235294117647,5,0.590948659545502,34
cluster-then-test,V0.5_c2,nobgs,2,73046,102,4,0.0392156862745098,0.105263157894737,56,1.02634087984922,38
test-then-cluster,V0.5_c2,nobgs,2,78251,160,8,0.05,0.236842105263158,87,1.02362569233639,38
single SNP,V0.5_c2,nobgs,2,370792,297,10,0.0336700336700337,0.289473684210526,149,0.946677278222825,38
consensus (no n penalty),V0.5_c2,nobgs,2,73046,146,4,0.0273972602739726,0.105263157894737,73,0.93384227706319,38
cluster-then-test,V0.5_c2,nobgs,3,72600,61,9,0.147540983606557,0.285714285714286,24,0.733574153131078,35
test-then-cluster,V0.5_c2,nobgs,3,77774,82,11,0.134146341463415,0.342857142857143,36,0.82195658121916,35
single SNP,V0.5_c2,nobgs,3,373584,105,12,0.114285714285714,0.371428571428571,47,0.817138792899068,35
consensus (no n penalty),V0.5_c2,nobgs,3,72600,75,6,0.08,0.171428571428571,39,0.972468367473107,35
cluster-then-test,V0.5_c2,nobgs,4,73546,11,2,0.181818181818182,0.0540540540540541,5,0.858632557661684,37
test-then-cluster,V0.5_c2,nobgs,4,78782,60,9,0.15,0.27027027027027,21,0.650308592851964,37
single SNP,V0.5_c2,nobgs,4,370248,149,11,0.0738255033557047,0.324324324324324,68,0.850671726001244,37
consensus (no n penalty),V0.5_c2,nobgs,4,73546,17,3,0.176470588235294,0.108108108108108,5,0.555585772604619,37
cluster-then-test,V0.5_c2,nobgs,5,71812,0,0,0,0,0,0,38
test-then-cluster,V0.5_c2,nobgs,5,77022,0,0,0,0,0,0,38
single SNP,V0.5_c2,nobgs,5,367831,184,9,0.0489130434782609,0.342105263157895,89,0.912951164088913,38
consensus (no n penalty),V0.5_c2,nobgs,5,71812,31,2,0.0645161290322581,0.105263157894737,11,0.677019964380542,38
cluster-then-test,V0.5_c2,nobgs,6,73578,108,7,0.0648148148148148,0.259259259259259,51,0.904506021116754,27
test-then-cluster,V0.5_c2,nobgs,6,78575,133,7,0.0526315789473684,0.259259259259259,64,0.92330026387335,27
single SNP,V0.5_c2,nobgs,6,371205,262,10,0.0381679389312977,0.37037037037037,109,0.801195559299795,27
consensus (no n penalty),V0.5_c2,nobgs,6,73578,67,4,0.0597014925373134,0.148148148148148,31,0.894447130627308,27
cluster-then-test,V0.5_c2,nobgs,7,73710,51,5,0.0980392156862745,0.142857142857143,21,0.790539329320143,35
test-then-cluster,V0.5_c2,nobgs,7,78532,63,8,0.126984126984127,0.228571428571429,26,0.792331935509077,35
single SNP,V0.5_c2,nobgs,7,370652,112,9,0.0803571428571429,0.257142857142857,42,0.719955460630844,35
consensus (no n penalty),V0.5_c2,nobgs,7,73710,22,3,0.136363636363636,0.0857142857142857,7,0.610871299929201,35
