ldw,rho,floor,engine,n_test,flagged,regions,tp_reg,tp_qtn,n_qtn,n_qtn_legacy,prec,rec,cell,tag,env
0.05,0.65,5,lfm,9878,32,26,8,9,17,16,0.307692307692308,0.529411764705882,V0.5_c1,bgs,6
0.0125,0.35,1,emx,83858,18,13,10,11,19,17,0.769230769230769,0.578947368421053,V0.5_c1,bgs,7
0.0125,0.35,1,lfm,83858,21,18,11,13,19,17,0.611111111111111,0.68421052631579,V0.5_c1,bgs,7
0.0125,0.35,2,emx,38959,18,15,11,12,19,17,0.733333333333333,0.631578947368421,V0.5_c1,bgs,7
0.0125,0.35,2,lfm,38959,22,19,11,13,19,17,0.578947368421053,0.68421052631579,V0.5_c1,bgs,7
0.0125,0.35,5,emx,9760,21,14,9,11,19,17,0.642857142857143,0.578947368421053,V0.5_c1,bgs,7
0.0125,0.35,5,lfm,9760,20,16,10,12,19,17,0.625,0.631578947368421,V0.5_c1,bgs,7
0.0125,0.5,1,emx,82562,14,11,9,10,19,17,0.818181818181818,0.526315789473684,V0.5_c1,bgs,7
0.0125,0.5,1,lfm,82562,16,14,10,12,19,17,0.714285714285714,0.631578947368421,V0.5_c1,bgs,7
0.0125,0.5,2,emx,37988,17,14,10,11,19,17,0.714285714285714,0.578947368421053,V0.5_c1,bgs,7
0.0125,0.5,2,lfm,37988,22,19,11,13,19,17,0.578947368421053,0.68421052631579,V0.5_c1,bgs,7
0.0125,0.5,5,emx,9481,19,13,9,11,19,17,0.692307692307692,0.578947368421053,V0.5_c1,bgs,7
0.0125,0.5,5,lfm,9481,19,16,10,12,19,17,0.625,0.631578947368421,V0.5_c1,bgs,7
0.0125,0.65,1,emx,81040,10,9,8,9,19,17,0.888888888888889,0.473684210526316,V0.5_c1,bgs,7
0.0125,0.65,1,lfm,81040,15,14,10,12,19,17,0.714285714285714,0.631578947368421,V0.5_c1,bgs,7
0.0125,0.65,2,emx,37040,12,11,9,10,19,17,0.818181818181818,0.526315789473684,V0.5_c1,bgs,7
