cell,tag,env,engine,l_min,n_qtn,n_rho_all,n_rho_high,a_PR,Call_PR,Call_n,Chigh_PR,Chigh_n,Call_TP,Chigh_TP
V0.5_c1,nobgs,10,lfmm,3,21,20,11,0.144047619047619,0.0753532182103611,91,0.0699708454810496,98,12,12
V0.5_c1,nobgs,10,lfmm,5,21,20,11,0.20703933747412,0.0976594027441485,59,0.0976594027441485,59,11,11
V0.5_c1,nobgs,10,lfmm,10,21,20,11,0.241071428571429,0.122100122100122,39,0.12531328320802,38,10,10
V1_c1.5,bgs,1,emmax,2,23,20,11,0.0289855072463768,0.0695652173913044,40,0.059204440333025,47,8,8
V1_c1.5,bgs,1,emmax,3,23,20,11,0.0347826086956522,0.103059581320451,27,0.0869565217391304,32,8,8
V1_c1.5,bgs,1,emmax,5,23,20,11,0.0579710144927536,0.132505175983437,21,0.111304347826087,25,8,8
V1_c1.5,bgs,1,emmax,10,23,20,11,0.0869565217391304,0.120401337792642,13,0.0978260869565217,16,6,6
V1_c1.5,bgs,1,lfmm,2,23,20,11,0.040920716112532,0.095952023988006,29,0.0927536231884058,30,8,8
V1_c1.5,bgs,1,lfmm,3,23,20,11,0.0355731225296443,0.0968379446640316,22,0.101449275362319,21,7,7
V1_c1.5,bgs,1,lfmm,5,23,20,11,0.0489130434782609,0.133152173913043,16,0.133152173913043,16,7,7
V1_c1.5,bgs,1,lfmm,10,23,20,11,0.0217391304347826,0.156521739130435,10,0.156521739130435,10,6,6
V1_c1.5,bgs,2,emmax,2,25,20,11,0.0316129032258065,0.0234782608695652,138,0.0225,144,9,9
V1_c1.5,bgs,2,emmax,3,25,20,11,0.024390243902439,0.0327272727272727,99,0.0311538461538462,104,9,9
V1_c1.5,bgs,2,emmax,5,25,20,11,0.0163636363636364,0.0419672131147541,61,0.0406349206349206,63,8,8
V1_c1.5,bgs,2,emmax,10,25,20,11,0.00571428571428571,0.0496551724137931,29,0.0464516129032258,31,6,6
V1_c1.5,bgs,2,lfmm,2,25,20,11,0.0277777777777778,0.0270422535211268,213,0.0258295964125561,223,12,12
V1_c1.5,bgs,2,lfmm,3,25,20,11,0.0396039603960396,0.0329251700680272,147,0.030440251572327,159,11,11
V1_c1.5,bgs,2,lfmm,5,25,20,11,0.0301538461538462,0.0290909090909091,88,0.0327272727272727,99,8,9
V1_c1.5,bgs,2,lfmm,10,25,20,11,0.0496551724137931,0.0378947368421053,38,0.0369230769230769,39,6,6
V1_c1.5,bgs,3,emmax,2,27,20,11,0,0,10,0,16,0,0
V1_c1.5,bgs,3,emmax,3,27,20,11,0,0,6,0,9,0,0
V1_c1.5,bgs,3,emmax,5,27,20,11,0,0,5,0,7,0,0
V1_c1.5,bgs,3,emmax,10,27,20,11,0,0,1,0,1,0,0
V1_c1.5,bgs,3,lfmm,2,27,20,11,0,0.00416666666666667,80,0.00392156862745098,85,3,3
V1_c1.5,bgs,3,lfmm,3,27,20,11,0,0.00315208825847124,47,0.00290486564996369,51,2,2
V1_c1.5,bgs,3,lfmm,5,27,20,11,0,0.00448933782267116,33,0.004004004004004,37,2,2
V1_c1.5,bgs,3,lfmm,10,27,20,11,0,0.00284900284900285,13,0.00246913580246914,15,1,1
V1_c1.5,bgs,4,emmax,2,23,20,11,0,0.0108695652173913,4,0.0108695652173913,4,1,1
V1_c1.5,bgs,4,emmax,3,23,20,11,0,0.0108695652173913,4,0.0144927536231884,3,1,1
V1_c1.5,bgs,4,emmax,5,23,20,11,0,0.0144927536231884,3,0.0144927536231884,3,1,1
V1_c1.5,bgs,4,emmax,10,23,20,11,0,0.0217391304347826,2,0.0217391304347826,2,1,1
V1_c1.5,bgs,4,lfmm,2,23,20,11,0.0289855072463768,0.00790513833992095,22,0.0118577075098814,33,2,3
V1_c1.5,bgs,4,lfmm,3,23,20,11,0.00869565217391304,0.0091533180778032,19,0.0150501672240803,26,2,3
V1_c1.5,bgs,4,lfmm,5,23,20,11,0.0217391304347826,0.00395256916996047,11,0.010230179028133,17,1,2
