tag	cell	rep	env	method	n_pop	r2_axes	mantel_r	n_regions	n_FP	fp_prop	ratio_null_obs
bgs	V1_c1	4	2	emmax_simes	80	0.89143371968521	0.446228271401147	2	0	0	0.285
bgs	V1_c1	4	4	emmax_consensus	80	0.862670230429121	0.459015072873861	2	0	0	0.055
bgs	V1_c1	4	4	emmax_simes	80	0.862670230429121	0.459015072873861	2	0	0	0.055
bgs	V1_c1	4	5	emmax_consensus	80	0.894044864241583	0.424858659138766	1	1	1	0.635
bgs	V1_c1	4	6	emmax_consensus	80	0.884839791397889	0.333636636086883	1	1	1	0.01
bgs	V1_c1	4	7	emmax_consensus	80	0.695537610601691	0.352507988850488	1	0	0	1.265
bgs	V1_c1	4	7	emmax_simes	80	0.695537610601691	0.352507988850488	1	0	0	1.05
bgs	V1_c1	4	10	emmax_consensus	80	0.74678686915448	0.360558730296155	1	1	1	1.09
bgs	V1_c1	9	1	emmax_consensus	80	0.88534897290375	0.51993430533703	4	2	0.5	0.08375
bgs	V1_c1	9	1	emmax_simes	80	0.88534897290375	0.51993430533703	7	4	0.571428571428571	0.04
bgs	V1_c1	9	2	emmax_consensus	80	0.912425261509911	0.44759664815546	2	1	0.5	0.195
bgs	V1_c1	9	2	emmax_simes	80	0.912425261509911	0.44759664815546	2	1	0.5	0.1675
