tag	cell	method	arm	floor	TP	FP	n_regions	n_detectable_qtn	n_recovered	n_tests	n_eligible_markers	n_eligible_units	frac_markers_retained	frac_dqtn_covered	precision	recall	realised_fdp	precision_ci_lo	precision_ci_hi	recall_ci_lo	recall_ci_hi	fdp_ci_lo	fdp_ci_hi
nobgs	V2_c1	emmax	A_unrestricted_marker	20	54	101	155	128	49	1488482	1488482	901426	1	1	0.348387096774194	0.3828125	0.651612903225806	0.245962021172105	0.494847964177861	0.308940100430416	0.463414634146342	0.505152035822139	0.754037978827895
nobgs	V2_c1.5	emmax	A_unrestricted_marker	1	21	193	214	196	21	1496487	1496487	812554	1	1	0.0981308411214953	0.107142857142857	0.901869158878505	0.0622142857142857	0.139040878769502	0.0706981879092432	0.144329896907216	0.860959121230498	0.937785714285714
nobgs	V2_c1.5	emmax	A_unrestricted_marker	2	21	193	214	196	21	1496487	1496487	812554	1	1	0.0981308411214953	0.107142857142857	0.901869158878505	0.0622142857142857	0.139040878769502	0.0706981879092432	0.144329896907216	0.860959121230498	0.937785714285714
nobgs	V2_c1.5	emmax	A_unrestricted_marker	3	21	193	214	196	21	1496487	1496487	812554	1	1	0.0981308411214953	0.107142857142857	0.901869158878505	0.0622142857142857	0.139040878769502	0.0706981879092432	0.144329896907216	0.860959121230498	0.937785714285714
nobgs	V2_c1.5	emmax	A_unrestricted_marker	5	21	193	214	196	21	1496487	1496487	812554	1	1	0.0981308411214953	0.107142857142857	0.901869158878505	0.0622142857142857	0.139040878769502	0.0706981879092432	0.144329896907216	0.860959121230498	0.937785714285714
nobgs	V2_c1.5	emmax	A_unrestricted_marker	10	21	193	214	196	21	1496487	1496487	812554	1	1	0.0981308411214953	0.107142857142857	0.901869158878505	0.0622142857142857	0.139040878769502	0.0706981879092432	0.144329896907216	0.860959121230498	0.937785714285714
nobgs	V2_c1.5	emmax	A_unrestricted_marker	20	21	193	214	196	21	1496487	1496487	812554	1	1	0.0981308411214953	0.107142857142857	0.901869158878505	0.0622142857142857	0.139040878769502	0.0706981879092432	0.144329896907216	0.860959121230498	0.937785714285714
bgs	V0.5_c1	emmax	B_floor_filtered_marker	1	110	188	298	167	91	1543807	1543807	887607	1	1	0.369127516778524	0.544910179640719	0.630872483221476	0.308097713097713	0.45076581027668	0.47018151348732	0.622109559949868	0.54923418972332	0.691902286902287
bgs	V0.5_c1	emmax	B_floor_filtered_marker	2	108	186	294	167	90	962915	962915	306715	0.624048986674786	0.954545454545454	0.36734693877551	0.538922155688623	0.63265306122449	0.307184575958043	0.436127600224517	0.449967948717949	0.620487120897383	0.563872399775484	0.692815424041957
bgs	V0.5_c1	emmax	B_floor_filtered_marker	3	109	164	273	167	90	614679	614679	132597	0.398797461864657	0.900673400673401	0.399267399267399	0.538922155688623	0.600732600732601	0.332225060301279	0.461856760374833	0.44998417721519	0.622093023255814	0.538143239625167	0.667774939698721
