method	floor	arm	n_tests	precision	precision_ci_lo	precision_ci_hi	recall	recall_ci_lo	recall_ci_hi	fdp	fdp_ci_lo	fdp_ci_hi	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi	mean_frac_markers_retained	n_tests_a	pct_of_unrestricted_tests
emmax	3	C_stage1_simes	1927510	0.156196943972835	0.148524071121107	0.162965848327648	0.1921834625323	0.176989387301435	0.207725393534453	0.843803056027165	0.837034151672352	0.851475928878893	0.0300184695296631	0.0267485775361268	0.0333089002010201	0.458968437782981	21861276	8.81700592408238
emmax	3	D_stage1_consensus	1927510	0.163216560509554	0.150832826811987	0.174749206724348	0.180878552971576	0.162775058102935	0.19828079757831	0.836783439490446	0.825250793275652	0.849167173188013	0.0295223752859659	0.024591802558026	0.0344457236789037	0.458968437782981	21861276	8.81700592408238
emmax	5	A_unrestricted_marker	21861276	0.122754038955156	0.115440311412588	0.129403918423573	0.230297157622739	0.215391780363575	0.244710379788914	0.877245961044844	0.870596081576427	0.884559688587412	0.0282699062580835	0.0260076716266306	0.0308519625148327	1	21861276	100
emmax	5	B_floor_filtered_marker	5952151	0.130349849049902	0.123465373490411	0.135984112420103	0.211886304909561	0.197417562158143	0.227918873155613	0.869650150950098	0.864015887579897	0.876534626509589	0.0276193478607028	0.0248680967211583	0.0305070230443412	0.268199729470145	21861276	27.2269148424822
emmax	5	C_stage1_simes	674688	0.15331100231899	0.142159724633268	0.16279883072313	0.179263565891473	0.164510612487685	0.195065624520877	0.84668899768101	0.83720116927687	0.857840275366733	0.027483076966098	0.023584937056181	0.0315371706122507	0.268199729470145	21861276	3.0862242441841
emmax	5	D_stage1_consensus	674688	0.166247555183012	0.151969689161211	0.178991984027654	0.177002583979328	0.161041359938322	0.19362525458824	0.833752444816988	0.821008015972346	0.848030310838789	0.0294262468476391	0.0247295931691775	0.0344669046327309	0.268199729470145	21861276	3.0862242441841
emmax	10	A_unrestricted_marker	21861276	0.122754038955156	0.115440311412588	0.129403918423573	0.230297157622739	0.215391780363575	0.244710379788914	0.877245961044844	0.870596081576427	0.884559688587412	0.0282699062580835	0.0260076716266306	0.0308519625148327	1	21861276	100
emmax	10	B_floor_filtered_marker	2755356	0.145094806265458	0.134978335970016	0.157134867471792	0.164728682170543	0.14734204260464	0.18289553915276	0.854905193734543	0.842865132528208	0.865021664029985	0.023901276225899	0.0202767697550859	0.0281489594164278	0.122812589253455	21861276	12.6038205638134
emmax	10	C_stage1_simes	156876	0.166417910447761	0.154508999122037	0.177177654289804	0.143733850129199	0.128131118729899	0.161063408231703	0.833582089552239	0.822822345710196	0.845491000877963	0.023919886999113	0.0199098900922058	0.0281337481871483	0.122812589253455	21861276	0.717597637027226
emmax	10	D_stage1_consensus	156876	0.186371100164204	0.171833424200836	0.202174441095992	0.146317829457364	0.132157282051282	0.160995993314693	0.813628899835796	0.797825558904009	0.828166575799164	0.0272694148496073	0.0229035388838015	0.0323611386362995	0.122812589253455	21861276	0.717597637027226
