tag	cell	rep	env	method	r2_axes	mantel_r	n_pop	n_regions	n_FP	fp_prop	any_fp	mean_null
bgs	V0.5_c1.5	8	6	emmax_consensus	0.890604196784423	0.366444247013432	80	13	12	0.923076923076923	1	10.185
bgs	V0.5_c1.5	8	6	emmax_simes	0.890604196784423	0.366444247013432	80	13	12	0.923076923076923	1	6.825
bgs	V0.5_c1.5	8	7	emmax_consensus	0.923983718979298	0.441045679857233	80	0	0		0	11.685
bgs	V0.5_c1.5	8	7	emmax_simes	0.923983718979298	0.441045679857233	80	0	0		0	9.13
bgs	V0.5_c1.5	8	8	emmax_consensus	0.875803590585039	0.342110795394876	80	2	2	1	1	12.645
bgs	V0.5_c1.5	8	8	emmax_simes	0.875803590585039	0.342110795394876	80	2	2	1	1	10.015
bgs	V0.5_c1.5	8	9	emmax_consensus	0.849629041691559	0.39613878413246	80	0	0		0	11.02
bgs	V0.5_c1.5	8	9	emmax_simes	0.849629041691559	0.39613878413246	80	0	0		0	8.09
bgs	V0.5_c1.5	8	10	emmax_consensus	0.82995115789531	0.367215751558089	80	0	0		0	14.64
bgs	V0.5_c1.5	8	10	emmax_simes	0.82995115789531	0.367215751558089	80	0	0		0	12.45
bgs	V0.5_c1.5	10	1	emmax_consensus	0.881132785400495	0.555645394165843	80	0	0		0	5.85
bgs	V0.5_c1.5	10	1	emmax_simes	0.881132785400495	0.555645394165843	80	2	1	0.5	1	4.745
bgs	V0.5_c1.5	10	2	emmax_consensus	0.916589347484886	0.486034117818851	80	8	7	0.875	1	12.93
bgs	V0.5_c1.5	10	2	emmax_simes	0.916589347484886	0.486034117818851	80	6	5	0.833333333333333	1	10.915
bgs	V0.5_c1.5	10	3	emmax_consensus	0.927644617672432	0.56847777464785	80	2	2	1	1	8.76
bgs	V0.5_c1.5	10	3	emmax_simes	0.927644617672432	0.56847777464785	80	1	1	1	1	6.885
bgs	V0.5_c1.5	10	4	emmax_consensus	0.878974889200094	0.523507300876355	80	0	0		0	9.175
bgs	V0.5_c1.5	10	4	emmax_simes	0.878974889200094	0.523507300876355	80	0	0		0	6.73
bgs	V0.5_c1.5	10	5	emmax_consensus	0.917605560072552	0.422078803809957	80	0	0		0	13.63
bgs	V0.5_c1.5	10	5	emmax_simes	0.917605560072552	0.422078803809957	80	0	0		0	9.925
bgs	V0.5_c1.5	10	6	emmax_consensus	0.888759440820639	0.352375988234906	80	10	9	0.9	1	13.485
