cell	method	arm	floor	precision	recall	prec_x_rec	prec_x_rec_ci_lo	prec_x_rec_ci_hi
V0.5_c1	lfmm	C_stage1_simes	5	0.566371681415929	0.477088948787062	0.270209670109486	0.23490907596787	0.310024113735418
V0.5_c1	emmax	A_unrestricted_marker	10	0.378654970760234	0.566037735849057	0.214333002317114	0.1912768633387	0.243562961523513
V0.5_c1	emmax	B_floor_filtered_marker	10	0.493670886075949	0.291105121293801	0.143710123170357	0.113950855130785	0.184527041396485
V0.5_c1	emmax	C_stage1_simes	10	0.621301775147929	0.285714285714286	0.177514792899408	0.143716397849462	0.225863788117388
V0.5_c1	emmax	D_stage1_consensus	10	0.565656565656566	0.293800539083558	0.166190203926053	0.137973208020246	0.202014452640303
V0.5_c1	lfmm	A_unrestricted_marker	10	0.422604422604423	0.654986522911051	0.276800201328503	0.244731806331988	0.31100809021972
V0.5_c1	lfmm	B_floor_filtered_marker	10	0.502092050209205	0.299191374663073	0.150221610709493	0.117796841557361	0.189587129209916
V0.5_c1	lfmm	C_stage1_simes	10	0.596858638743456	0.299191374663073	0.178574956605185	0.149460708782743	0.215781097546465
V0.5_c1	emmax	A_unrestricted_marker	20	0.378654970760234	0.566037735849057	0.214333002317114	0.1912768633387	0.243562961523513
V0.5_c1	emmax	B_floor_filtered_marker	20	0.536585365853659	0.123989218328841	0.0665308000788903	0.0451774222057074	0.0936580557674118
V0.5_c1	emmax	C_stage1_simes	20	0.626865671641791	0.121293800539084	0.0760349197409181	0.0520769991588606	0.105545490698599
V0.5_c1	emmax	D_stage1_consensus	20	0.608108108108108	0.123989218328841	0.0753988489837546	0.0475756159954443	0.110850808664303
V0.5_c1	lfmm	A_unrestricted_marker	20	0.422604422604423	0.654986522911051	0.276800201328503	0.244731806331988	0.31100809021972
V0.5_c1	lfmm	B_floor_filtered_marker	20	0.5	0.118598382749326	0.0592991913746631	0.0371997427923739	0.0861286797359632
V0.5_c1	lfmm	C_stage1_simes	20	0.567567567567568	0.115902964959569	0.0657827638959715	0.0407377612245766	0.0976497629261684
V0.5_c1.5	emmax	A_unrestricted_marker	1	0.152958152958153	0.17948717948718	0.0274540274540275	0.018327489052639	0.0411132882525767
V0.5_c1.5	emmax	B_floor_filtered_marker	1	0.152958152958153	0.17948717948718	0.0274540274540275	0.018327489052639	0.0411132882525767
V0.5_c1.5	emmax	C_stage1_simes	1	0.287671232876712	0.111721611721612	0.0321390937829294	0.0203273275783477	0.049981109687495
V0.5_c1.5	emmax	D_stage1_consensus	1	0.19622641509434	0.0915750915750916	0.0179694519317161	0.0110746041032003	0.0259671154593024
V0.5_c1.5	lfmm	A_unrestricted_marker	1	0.133088235294118	0.302197802197802	0.0402189722042663	0.0301825580340755	0.0541014207546798
V0.5_c1.5	lfmm	B_floor_filtered_marker	1	0.133088235294118	0.302197802197802	0.0402189722042663	0.0301825580340755	0.0541014207546798
V0.5_c1.5	lfmm	C_stage1_simes	1	0.181954887218045	0.210622710622711	0.0383238315569143	0.0262134986670521	0.0549518694989313
V0.5_c1.5	emmax	A_unrestricted_marker	2	0.152958152958153	0.17948717948718	0.0274540274540275	0.018327489052639	0.0411132882525767
V0.5_c1.5	emmax	B_floor_filtered_marker	2	0.140394088669951	0.192307692307692	0.0269988632057598	0.0173463140254483	0.0408433694466502
V0.5_c1.5	emmax	C_stage1_simes	2	0.200507614213198	0.135531135531136	0.0271750246369536	0.0165399477868863	0.043686963718668
V0.5_c1.5	emmax	D_stage1_consensus	2	0.150776053215078	0.117216117216117	0.0176733835270421	0.0112702579078383	0.0270540790837836
V0.5_c1.5	lfmm	A_unrestricted_marker	2	0.133088235294118	0.302197802197802	0.0402189722042663	0.0301825580340755	0.0541014207546798
V0.5_c1.5	lfmm	B_floor_filtered_marker	2	0.134535367545076	0.318681318681319	0.0428739083385408	0.0325115740740741	0.0566830054164707
V0.5_c1.5	lfmm	C_stage1_simes	2	0.176258992805755	0.256410256410256	0.0451946135399373	0.0349085530459525	0.0595392535058681
V0.5_c1.5	emmax	A_unrestricted_marker	3	0.152958152958153	0.17948717948718	0.0274540274540275	0.018327489052639	0.0411132882525767
V0.5_c1.5	emmax	B_floor_filtered_marker	3	0.146800501882058	0.1996336996337	0.0293063272987991	0.0210499068886133	0.0399334095870261
V0.5_c1.5	emmax	C_stage1_simes	3	0.186761229314421	0.137362637362637	0.0256540150157171	0.016398849593406	0.0374059321389411
V0.5_c1.5	emmax	D_stage1_consensus	3	0.152215799614644	0.137362637362637	0.0209087636833302	0.0136195051238763	0.0315220693547319
V0.5_c1.5	lfmm	A_unrestricted_marker	3	0.133088235294118	0.302197802197802	0.0402189722042663	0.0301825580340755	0.0541014207546798
V0.5_c1.5	lfmm	B_floor_filtered_marker	3	0.141296431172615	0.315018315018315	0.0445109636660984	0.0365870592629986	0.0534017025197499
V0.5_c1.5	lfmm	C_stage1_simes	3	0.179456906729634	0.261904761904762	0.0470006184291899	0.0408171074705516	0.0540670888129901
V0.5_c1.5	emmax	A_unrestricted_marker	5	0.152958152958153	0.17948717948718	0.0274540274540275	0.018327489052639	0.0411132882525767
V0.5_c1.5	emmax	B_floor_filtered_marker	5	0.174402250351617	0.214285714285714	0.0373719107896323	0.0265430142120553	0.0514996264119331
V0.5_c1.5	emmax	C_stage1_simes	5	0.236040609137056	0.161172161172161	0.0380431750990127	0.0279008872497057	0.0499121717869802
V0.5_c1.5	emmax	D_stage1_consensus	5	0.199152542372881	0.164835164835165	0.0328273421493761	0.023978329488729	0.0438464438228943
V0.5_c1.5	lfmm	A_unrestricted_marker	5	0.133088235294118	0.302197802197802	0.0402189722042663	0.0301825580340755	0.0541014207546798
V0.5_c1.5	lfmm	B_floor_filtered_marker	5	0.177613320999075	0.311355311355311	0.0553008508605178	0.0445402177094804	0.0667913805745802
V0.5_c1.5	lfmm	C_stage1_simes	5	0.218077474892396	0.261904761904762	0.0571155291384847	0.0477681593172455	0.0662148971156584
V0.5_c1.5	emmax	A_unrestricted_marker	10	0.152958152958153	0.17948717948718	0.0274540274540275	0.018327489052639	0.0411132882525767
V0.5_c1.5	emmax	B_floor_filtered_marker	10	0.221774193548387	0.192307692307692	0.0426488833746898	0.0302570949097763	0.057554358357249
V0.5_c1.5	emmax	C_stage1_simes	10	0.295681063122924	0.155677655677656	0.0460309347352537	0.0306840046895334	0.0625755552005968
V0.5_c1.5	emmax	D_stage1_consensus	10	0.254237288135593	0.164835164835165	0.0419072452970758	0.030882516900532	0.0536569452661796
