analysis,flagged,contain,tag_not_contain,neither,satellites,raw_prec,raw_rec,dedup_regions,dedup_tp,dedup_qtn,dedup_prec,dedup_rec,cell,tag,env,n_qtn,n_clusters
simes_n2,25,7,2,16,1,0.28,0.35,24,8,8,0.333333333333333,0.4,V0.5_c1,bgs,2,20,84185
rep,9,4,0,5,0,0.444444444444444,0.2,9,4,4,0.444444444444444,0.2,V0.5_c1,bgs,2,20,84185
simes,20,7,1,12,0,0.35,0.35,20,8,8,0.4,0.4,V0.5_c1,bgs,2,20,84185
emlg,19,7,2,10,1,0.368421052631579,0.35,18,8,8,0.444444444444444,0.4,V0.5_c1,bgs,2,20,84185
snp,29,13,5,11,4,0.448275862068966,0.68421052631579,25,14,15,0.56,0.789473684210526,V0.5_c1,bgs,3,19,84217
snp_n2,33,13,6,14,5,0.393939393939394,0.68421052631579,28,14,15,0.5,0.789473684210526,V0.5_c1,bgs,3,19,84217
snp_n5,37,13,7,17,6,0.351351351351351,0.68421052631579,31,14,15,0.451612903225806,0.789473684210526,V0.5_c1,bgs,3,19,84217
simes_nosparse,12,10,0,2,0,0.833333333333333,0.526315789473684,12,10,11,0.833333333333333,0.578947368421053,V0.5_c1,bgs,3,19,84217
simes_n2_nosparse,16,11,2,3,2,0.6875,0.578947368421053,14,11,12,0.785714285714286,0.631578947368421,V0.5_c1,bgs,3,19,84217
simes_n2,17,11,3,3,2,0.647058823529412,0.578947368421053,15,12,13,0.8,0.68421052631579,V0.5_c1,bgs,3,19,84217
rep,12,9,2,1,2,0.75,0.473684210526316,10,9,10,0.9,0.526315789473684,V0.5_c1,bgs,3,19,84217
simes,12,10,0,2,0,0.833333333333333,0.526315789473684,12,10,11,0.833333333333333,0.578947368421053,V0.5_c1,bgs,3,19,84217
emlg,14,11,0,3,0,0.785714285714286,0.578947368421053,14,11,12,0.785714285714286,0.631578947368421,V0.5_c1,bgs,3,19,84217
snp,25,9,4,12,4,0.36,0.75,21,9,11,0.428571428571429,0.916666666666667,V0.5_c1,bgs,4,12,85153
snp_n2,22,9,4,9,4,0.409090909090909,0.75,18,9,11,0.5,0.916666666666667,V0.5_c1,bgs,4,12,85153
snp_n5,19,8,5,6,5,0.421052631578947,0.666666666666667,14,8,10,0.571428571428571,0.833333333333333,V0.5_c1,bgs,4,12,85153
simes_nosparse,9,5,3,1,3,0.555555555555556,0.416666666666667,6,5,5,0.833333333333333,0.416666666666667,V0.5_c1,bgs,4,12,85153
simes_n2_nosparse,8,5,3,0,3,0.625,0.416666666666667,5,5,5,1,0.416666666666667,V0.5_c1,bgs,4,12,85153
