route,floor,R,R_ntrl,f_ntrl,cell,tag,env
simes,1,18,5,0.513084282876259,V2_c1,bgs,2
simes,2,18,6,0.511071376083868,V2_c1,bgs,2
simes,5,11,4,0.506813627254509,V2_c1,bgs,2
simes,8,7,3,0.51027951027951,V2_c1,bgs,2
cons,1,4,0,0.510925060821693,V2_c1,bgs,3
cons,2,6,0,0.510880727663944,V2_c1,bgs,3
cons,5,8,1,0.512474114978799,V2_c1,bgs,3
cons,8,8,2,0.511918274687855,V2_c1,bgs,3
best,1,7,0,0.510925060821693,V2_c1,bgs,3
best,2,11,2,0.510880727663944,V2_c1,bgs,3
best,5,14,4,0.512474114978799,V2_c1,bgs,3
best,8,16,4,0.511918274687855,V2_c1,bgs,3
simes,1,7,0,0.510925060821693,V2_c1,bgs,3
simes,2,6,0,0.510880727663944,V2_c1,bgs,3
simes,5,5,0,0.512474114978799,V2_c1,bgs,3
simes,8,9,2,0.511918274687855,V2_c1,bgs,3
cons,1,5,0,0.5120207182637,V2_c1,bgs,4
cons,2,10,1,0.513936249073388,V2_c1,bgs,4
cons,5,9,0,0.514262675133555,V2_c1,bgs,4
cons,8,8,0,0.51139990880073,V2_c1,bgs,4
best,1,11,0,0.5120207182637,V2_c1,bgs,4
best,2,17,1,0.513936249073388,V2_c1,bgs,4
best,5,21,3,0.514262675133555,V2_c1,bgs,4
best,8,29,7,0.51139990880073,V2_c1,bgs,4
simes,1,4,0,0.5120207182637,V2_c1,bgs,4
simes,2,7,0,0.513936249073388,V2_c1,bgs,4
simes,5,7,0,0.514262675133555,V2_c1,bgs,4
simes,8,9,1,0.51139990880073,V2_c1,bgs,4
cons,1,2,0,0.512705358070587,V2_c1,bgs,5
cons,2,1,0,0.513889579088605,V2_c1,bgs,5
cons,5,2,0,0.519360097819442,V2_c1,bgs,5
cons,8,2,0,0.517001915708812,V2_c1,bgs,5
best,1,3,0,0.512705358070587,V2_c1,bgs,5
best,2,2,0,0.513889579088605,V2_c1,bgs,5
best,5,2,0,0.519360097819442,V2_c1,bgs,5
best,8,3,0,0.517001915708812,V2_c1,bgs,5
simes,1,1,0,0.512705358070587,V2_c1,bgs,5
simes,2,0,0,0.513889579088605,V2_c1,bgs,5
simes,5,2,0,0.519360097819442,V2_c1,bgs,5
simes,8,2,0,0.517001915708812,V2_c1,bgs,5
cons,1,2,0,0.514112710061893,V2_c1,nobgs,1
