tau,lmin,p_null_any,p_null_lo,p_null_hi,k_null,mean_null_regions,q50_null_regions,q90_null_regions,q95_null_regions,q99_null_regions,max_null_regions,mean_null_markers,mean_null_coverage,n_obs_regions,n_obs_markers,obs_coverage
0.28,1,0.505,0.433586654975012,0.576262949682923,101,5.775,1,10.1,18.1,164.16,201,15.4,0.00136658088561541,20,42,0.00372703877895111
0.28,2,0.28,0.218961155670032,0.347688737204608,56,1.97,0,3,4.09999999999997,65.1399999999999,91,11.595,0.00102892892004614,8,30,0.00266217055639365
0.28,3,0.195,0.142491874779059,0.256785687526559,39,1.14,0,1,2.04999999999998,33.1499999999999,64,9.935,0.000881622149259029,2,18,0.00159730233383619
0.28,5,0.105,0.0661812270287118,0.156018705547503,21,0.585,0,1,1,14.1399999999999,34,8.055,0.000714792794391694,2,18,0.00159730233383619
0.28,10,0.055,0.0277722545520065,0.0962776444339129,11,0.175,0,0,1,5.01999999999998,9,5.415,0.000480521785429053,1,13,0.00115360724110391
0.28,15,0.04,0.0174248089944806,0.077291968226016,8,0.085,0,0,0,2.01999999999998,6,4.405,0.000390895376697134,0,0,0
0.28,20,0.03,0.0110874556722548,0.064150626705027,6,0.065,0,0,0,2.01999999999998,4,4.08,0.000362055195669536,0,0,0
0.3,1,0.495,0.423737050317077,0.566413345024988,99,5.505,0,10.1,16.1,159.14,193,14.52,0.00128849054929452,18,35,0.00310586564912592
0.3,2,0.275,0.214377415243095,0.342425418623751,55,1.9,0,3,4.09999999999997,63.1399999999999,89,10.915,0.000968586387434555,8,25,0.00221847546366137
0.3,3,0.195,0.142491874779059,0.256785687526559,39,1.1,0,1,2,31.1699999999999,64,9.315,0.000826603957760227,2,13,0.00115360724110391
0.3,5,0.1,0.0621593662540661,0.150212787867756,20,0.56,0,0.0999999999999943,1,13.1499999999999,33,7.475,0.00066332416363475,1,9,0.000798651166918094
0.3,10,0.055,0.0277722545520065,0.0962776444339129,11,0.17,0,0,1,5.00999999999999,9,4.945,0.000438814446712219,0,0,0
0.3,15,0.04,0.0174248089944806,0.077291968226016,8,0.08,0,0,0,2.01999999999998,5,3.935,0.0003491880379803,0,0,0
0.3,20,0.03,0.0110874556722548,0.064150626705027,6,0.06,0,0,0,2.00999999999999,4,3.6,0.000319460466767238,0,0,0
0.32,1,0.49,0.418822515205485,0.561478277437834,98,5.275,0,8.09999999999999,16.05,155.14,188,13.765,0.00122149259029195,17,33,0.00292838761203301
0.32,2,0.275,0.214377415243095,0.342425418623751,55,1.85,0,3,4.04999999999998,63.0999999999999,87,10.34,0.000917561451770343,8,24,0.00212973644511492
0.32,3,0.19,0.13810312537284,0.251331518623744,38,1.085,0,1,2,31.1599999999999,64,8.81,0.000781790753394268,2,12,0.00106486822255746
0.32,5,0.095,0.0581696097251203,0.144376639976852,19,0.535,0,0,1,13.1299999999999,32,6.94,0.000615848788712397,1,8,0.000709912148371639
0.32,10,0.055,0.0277722545520065,0.0962776444339129,11,0.165,0,0,1,5.00999999999999,8,4.55,0.00040376253438637,0,0,0
0.32,15,0.035,0.0141855258984192,0.0707809983509773,7,0.075,0,0,0,2.01999999999998,5,3.53,0.000313248735468986,0,0,0
0.32,20,0.03,0.0110874556722548,0.064150626705027,6,0.055,0,0,0,2.00999999999999,3,3.18,0.000282190078977727,0,0,0
0.34,1,0.48,0.409013999638006,0.551587601339426,96,5.05,0,8,16.05,152.13,185,13.01,0.00115449463128938,16,31,0.0027509095749401
0.34,2,0.27,0.209803337466145,0.337152590687331,54,1.81,0,3,4.04999999999998,62.0999999999999,86,9.77,0.000866980211198864,7,22,0.00195225840802201
0.34,3,0.185,0.133728660179762,0.245863462448678,37,1.055,0,1,2,31.1499999999999,62,8.26,0.000732984293193717,2,12,0.00106486822255746
0.34,5,0.085,0.0502959186302573,0.132605165829552,17,0.52,0,0,1,13.1299999999999,31,6.455,0.000572810364717366,1,8,0.000709912148371639
0.34,10,0.055,0.0277722545520065,0.0962776444339129,11,0.155,0,0,1,5.00999999999999,6,4.065,0.000360724110391339,0,0,0
0.34,15,0.035,0.0141855258984192,0.0707809983509773,7,0.075,0,0,0,2.01999999999998,5,3.16,0.000280415298606797,0,0,0
0.34,20,0.03,0.0110874556722548,0.064150626705027,6,0.055,0,0,0,2.00999999999999,3,2.83,0.000251131422486467,0,0,0
0.36,1,0.475,0.404120033424979,0.546631982529676,95,4.75,0,7,15,145.13,178,12.22,0.00108439080663768,14,27,0.00239595350075428
0.36,2,0.27,0.209803337466145,0.337152590687331,54,1.76,0,2.09999999999999,4.04999999999998,59.1099999999999,84,9.23,0.000819061141183779,6,19,0.00168604135238264
0.36,3,0.18,0.129368928348397,0.240381096884007,36,1.035,0,1,2,31.1299999999999,61,7.78,0.000690389564291419,2,11,0.000976129204011004
0.36,5,0.085,0.0502959186302573,0.132605165829552,17,0.51,0,0,1,13.1199999999999,30,6.005,0.000532877806371462,1,7,0.000621173129825184
0.36,10,0.055,0.0277722545520065,0.0962776444339129,11,0.15,0,0,1,5.00999999999999,6,3.665,0.000325228502972757,0,0,0
0.36,15,0.035,0.0141855258984192,0.0707809983509773,7,0.075,0,0,0,2.01999999999998,5,2.83,0.000251131422486467,0,0,0
